persona_id,persona_name,brand,similarity,sim_pct,mention_count,mention_pct,gap_score,gap_type
P4,Christine,BrandMuscle,0.492986,0.1667,16,0.8333,0.6667,content_gap
P5,Derek,SOCi,0.516717,0.3333,1,0.75,0.4167,content_gap
P2,Sandra,SOCi,0.538729,0.3333,1,0.6389,0.3056,content_gap
P2,Sandra,Scorpion,0.560839,0.5,4,0.8056,0.3056,content_gap
P1,Jordan,Firegang Dental Marketing,0.37783,0.0556,0,0.3611,0.3056,content_gap
P5,Derek,Firegang Dental Marketing,0.411214,0.0556,0,0.3611,0.3056,content_gap
P4,Christine,Wonderist Agency,0.521291,0.3333,1,0.6389,0.3056,content_gap
P4,Christine,Cardinal Digital Marketing,0.561293,0.4444,5,0.7222,0.2778,aligned
P2,Sandra,Refine Labs,0.60603,0.6667,10,0.9167,0.25,aligned
P2,Sandra,Firegang Dental Marketing,0.397991,0.0556,0,0.3056,0.25,aligned
P3,Ray,Franchise FastLane,0.391879,0.0556,0,0.3056,0.25,aligned
P4,Christine,Firegang Dental Marketing,0.391376,0.0556,0,0.3056,0.25,aligned
P5,Derek,BrandMuscle,0.457931,0.1111,0,0.3611,0.25,aligned
P1,Jordan,Franchise FastLane,0.408576,0.1111,0,0.3611,0.25,aligned
P5,Derek,Scorpion,0.567135,0.6667,30,0.9167,0.25,aligned
P4,Christine,SOCi,0.578968,0.7222,43,0.9444,0.2222,aligned
P4,Christine,Scorpion,0.579729,0.7778,52,1.0,0.2222,aligned
P3,Ray,Firegang Dental Marketing,0.610994,0.6667,23,0.8889,0.2222,aligned
P4,Christine,Great Dental Websites,0.4825,0.1111,0,0.3056,0.1944,aligned
P5,Derek,Great Dental Websites,0.481881,0.1667,0,0.3611,0.1944,aligned
P3,Ray,BrandMuscle,0.45328,0.1111,0,0.3056,0.1944,aligned
P2,Sandra,Franchise FastLane,0.421766,0.1111,0,0.3056,0.1944,aligned
P1,Jordan,BrandMuscle,0.465732,0.1667,0,0.3611,0.1944,aligned
P1,Jordan,Scorpion,0.547011,0.5556,1,0.7222,0.1667,aligned
P3,Ray,Wonderist Agency,0.714357,0.8333,36,1.0,0.1667,aligned
P3,Ray,Refine Labs,0.50396,0.1667,0,0.3056,0.1389,aligned
P5,Derek,Wonderist Agency,0.508903,0.2222,0,0.3611,0.1389,aligned
