persona_id,brand,run1_sim,run2_sim,run3_sim,mean_sim,sim_std,sim_cv
P1,BrandMuscle,0.4627,0.4674,0.4649,0.465,0.0024,0.0051
P1,Cardinal Digital Marketing,0.5715,0.5752,0.5765,0.5744,0.0026,0.0045
P1,Curious Jane,0.5243,0.527,0.524,0.5251,0.0016,0.0031
P1,Directive Consulting,0.6982,0.6965,0.6976,0.6974,0.0009,0.0012
P1,Firegang Dental Marketing,0.3775,0.3757,0.3785,0.3772,0.0015,0.0039
P1,Franchise FastLane,0.411,0.4073,0.4054,0.4079,0.0029,0.007
P1,Franchise Performance Group,0.5356,0.5351,0.534,0.5349,0.0008,0.0015
P1,Great Dental Websites,0.4771,0.4806,0.4775,0.4784,0.0019,0.004
P1,KickStart Dental Marketing,0.5054,0.509,0.5096,0.508,0.0023,0.0045
P1,Location3,0.5748,0.5807,0.5811,0.5789,0.0035,0.0061
P1,NoGood,0.6066,0.6124,0.6128,0.6106,0.0035,0.0057
P1,Pain-Free Dental Marketing,0.5435,0.5484,0.547,0.5463,0.0025,0.0046
P1,Powered by Search,0.771,0.7722,0.7722,0.7718,0.0007,0.0009
P1,Refine Labs,0.6403,0.6368,0.6394,0.6388,0.0018,0.0029
P1,SOCi,0.5237,0.5276,0.526,0.5258,0.0019,0.0037
P1,Scorpion,0.5462,0.5446,0.5476,0.5462,0.0015,0.0028
P1,SmartBug Media,0.6189,0.6201,0.6208,0.6199,0.001,0.0016
P1,Wonderist Agency,0.5175,0.522,0.5177,0.5191,0.0025,0.0049
P2,BrandMuscle,0.5057,0.5046,0.5016,0.504,0.0021,0.0041
P2,Cardinal Digital Marketing,0.6172,0.6135,0.6156,0.6154,0.0019,0.003
P2,Curious Jane,0.5675,0.5639,0.5621,0.5645,0.0027,0.0048
P2,Directive Consulting,0.674,0.6716,0.6747,0.6734,0.0016,0.0024
P2,Firegang Dental Marketing,0.401,0.3933,0.3974,0.3972,0.0039,0.0098
P2,Franchise FastLane,0.4253,0.4202,0.4174,0.421,0.004,0.0095
P2,Franchise Performance Group,0.5521,0.5462,0.5498,0.5494,0.003,0.0054
P2,Great Dental Websites,0.4968,0.4939,0.4994,0.4967,0.0028,0.0055
P2,KickStart Dental Marketing,0.5256,0.522,0.5268,0.5248,0.0025,0.0047
P2,Location3,0.6241,0.6163,0.617,0.6192,0.0043,0.007
P2,NoGood,0.6237,0.6122,0.6151,0.617,0.006,0.0097
P2,Pain-Free Dental Marketing,0.5857,0.5804,0.5846,0.5836,0.0028,0.0048
P2,Powered by Search,0.7152,0.7147,0.7164,0.7154,0.0009,0.0013
P2,Refine Labs,0.6037,0.6067,0.6043,0.6049,0.0016,0.0026
P2,SOCi,0.5415,0.5357,0.5359,0.5377,0.0033,0.0061
P2,Scorpion,0.5596,0.559,0.5608,0.5598,0.0009,0.0016
P2,SmartBug Media,0.6412,0.6416,0.639,0.6406,0.0014,0.0022
P2,Wonderist Agency,0.5516,0.5492,0.5514,0.5507,0.0014,0.0025
P3,BrandMuscle,0.4532,0.4528,0.4522,0.4527,0.0005,0.0011
P3,Cardinal Digital Marketing,0.6655,0.6592,0.6624,0.6624,0.0032,0.0048
P3,Curious Jane,0.5182,0.5219,0.5237,0.5213,0.0028,0.0053
P3,Directive Consulting,0.5838,0.5859,0.5837,0.5845,0.0012,0.0021
P3,Firegang Dental Marketing,0.6074,0.6106,0.6127,0.6102,0.0026,0.0043
P3,Franchise FastLane,0.3927,0.3883,0.3932,0.3914,0.0027,0.0068
P3,Franchise Performance Group,0.5275,0.521,0.5267,0.5251,0.0036,0.0068
P3,Great Dental Websites,0.7275,0.7241,0.7292,0.727,0.0026,0.0036
P3,KickStart Dental Marketing,0.7472,0.7443,0.7484,0.7467,0.0021,0.0028
P3,Location3,0.5975,0.5928,0.6002,0.5968,0.0038,0.0063
P3,NoGood,0.5517,0.5524,0.5512,0.5518,0.0006,0.0011
P3,Pain-Free Dental Marketing,0.7776,0.7764,0.7775,0.7772,0.0007,0.0009
P3,Powered by Search,0.6249,0.6242,0.6232,0.6241,0.0008,0.0014
P3,Refine Labs,0.5027,0.5056,0.5017,0.5033,0.002,0.004
P3,SOCi,0.5067,0.5022,0.5082,0.5057,0.0031,0.0062
P3,Scorpion,0.5877,0.5832,0.5844,0.5851,0.0023,0.004
P3,SmartBug Media,0.5517,0.5489,0.5473,0.5493,0.0022,0.0041
P3,Wonderist Agency,0.7128,0.7116,0.716,0.7135,0.0023,0.0032
P4,BrandMuscle,0.494,0.4911,0.4918,0.4923,0.0015,0.0031
P4,Cardinal Digital Marketing,0.5634,0.5563,0.5619,0.5605,0.0037,0.0066
P4,Curious Jane,0.6256,0.6214,0.625,0.624,0.0023,0.0037
P4,Directive Consulting,0.5751,0.5672,0.5691,0.5705,0.0041,0.0072
P4,Firegang Dental Marketing,0.3926,0.3918,0.3882,0.3908,0.0023,0.0059
P4,Franchise FastLane,0.5777,0.5792,0.5749,0.5773,0.0022,0.0038
P4,Franchise Performance Group,0.6651,0.6663,0.6624,0.6646,0.002,0.003
P4,Great Dental Websites,0.4849,0.4814,0.4792,0.4818,0.0029,0.006
P4,KickStart Dental Marketing,0.5129,0.5071,0.5067,0.5089,0.0035,0.0068
P4,Location3,0.6809,0.6802,0.6789,0.68,0.001,0.0015
P4,NoGood,0.5651,0.5596,0.563,0.5626,0.0028,0.005
P4,Pain-Free Dental Marketing,0.556,0.5504,0.5518,0.5527,0.0029,0.0052
P4,Powered by Search,0.6201,0.6129,0.6152,0.6161,0.0037,0.006
P4,Refine Labs,0.5046,0.4974,0.5025,0.5015,0.0037,0.0074
P4,SOCi,0.5836,0.5757,0.5753,0.5782,0.0047,0.0082
P4,Scorpion,0.5782,0.5842,0.5744,0.5789,0.0049,0.0085
P4,SmartBug Media,0.5656,0.5569,0.5612,0.5612,0.0044,0.0078
P4,Wonderist Agency,0.5242,0.5173,0.5202,0.5206,0.0035,0.0067
P5,BrandMuscle,0.4597,0.4579,0.4541,0.4572,0.0029,0.0063
P5,Cardinal Digital Marketing,0.5546,0.5477,0.551,0.5511,0.0035,0.0063
P5,Curious Jane,0.646,0.6478,0.6377,0.6438,0.0054,0.0084
P5,Directive Consulting,0.5896,0.5866,0.5866,0.5876,0.0017,0.0029
P5,Firegang Dental Marketing,0.4101,0.4086,0.4131,0.4106,0.0023,0.0057
P5,Franchise FastLane,0.6291,0.6307,0.629,0.6296,0.001,0.0015
P5,Franchise Performance Group,0.7413,0.7397,0.7557,0.7455,0.0088,0.0119
P5,Great Dental Websites,0.4806,0.4803,0.4826,0.4812,0.0012,0.0026
P5,KickStart Dental Marketing,0.515,0.5149,0.513,0.5143,0.0011,0.0021
P5,Location3,0.6331,0.6294,0.6265,0.6297,0.0033,0.0052
P5,NoGood,0.5574,0.555,0.5556,0.556,0.0013,0.0023
P5,Pain-Free Dental Marketing,0.5427,0.5398,0.5396,0.5407,0.0017,0.0032
P5,Powered by Search,0.628,0.6217,0.626,0.6252,0.0032,0.0051
P5,Refine Labs,0.5315,0.5242,0.5284,0.528,0.0037,0.0069
P5,SOCi,0.5184,0.5162,0.5132,0.5159,0.0026,0.0051
P5,Scorpion,0.5686,0.566,0.5642,0.5663,0.0022,0.0039
P5,SmartBug Media,0.5542,0.5513,0.5554,0.5536,0.0021,0.0038
P5,Wonderist Agency,0.5116,0.5059,0.5069,0.5081,0.003,0.006
