persona_id,brand,run1_rate,run2_rate,run3_rate,mean_rate,std_rate,ci95_low,ci95_high,consistency,k_mentions,n_responses,base_rate,p_value,p_corrected,sig_stars,direction
P1,BrandMuscle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,75,0.0427,0.07894,1.0,,under
P1,Cardinal Digital Marketing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,75,0.0533,0.0346,1.0,,under
P1,Curious Jane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,75,0.0987,0.00071,0.05319,,under
P1,Directive Consulting,0.48,0.48,0.4,0.4533,0.0462,0.3386,0.5681,0.898,34,75,0.12,0.0,0.0,***,over
P1,Firegang Dental Marketing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,75,0.0613,0.01459,1.0,,under
P1,Franchise FastLane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,75,0.008,1.0,1.0,,under
P1,Franchise Performance Group,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,75,0.0933,0.0011,0.08283,,under
P1,Great Dental Websites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,75,0.032,0.17981,1.0,,under
P1,KickStart Dental Marketing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,75,0.072,0.00625,0.46908,,under
P1,Location3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,75,0.12,0.00012,0.00866,**,under
P1,NoGood,0.2,0.2,0.24,0.2133,0.0231,0.156,0.2707,0.892,16,75,0.0453,0.0,2e-05,***,over
P1,Pain-Free Dental Marketing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,75,0.056,0.0222,1.0,,under
P1,Powered by Search,0.2,0.32,0.28,0.2667,0.0611,0.1149,0.4184,0.771,20,75,0.0533,0.0,0.0,***,over
P1,Refine Labs,0.6,0.52,0.56,0.56,0.04,0.4606,0.6594,0.929,42,75,0.1387,0.0,0.0,***,over
P1,SOCi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,75,0.12,0.00012,0.00866,**,under
P1,Scorpion,0.04,0.0,0.0,0.0133,0.0231,0.0,0.0707,0.0,1,75,0.2507,0.0,0.0,***,under
P1,SmartBug Media,0.12,0.08,0.04,0.08,0.04,0.0,0.1794,0.5,6,75,0.0853,1.0,1.0,,under
P1,Wonderist Agency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,75,0.0987,0.00071,0.05319,,under
P2,BrandMuscle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,75,0.0427,0.07894,1.0,,under
P2,Cardinal Digital Marketing,0.04,0.0,0.04,0.0267,0.0231,0.0,0.084,0.134,2,75,0.0533,0.4406,1.0,,under
P2,Curious Jane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,75,0.0987,0.00071,0.05319,,under
P2,Directive Consulting,0.12,0.12,0.16,0.1333,0.0231,0.076,0.1907,0.827,10,75,0.12,0.72123,1.0,,over
P2,Firegang Dental Marketing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,75,0.0613,0.01459,1.0,,under
P2,Franchise FastLane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,75,0.008,1.0,1.0,,under
P2,Franchise Performance Group,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,75,0.0933,0.0011,0.08283,,under
P2,Great Dental Websites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,75,0.032,0.17981,1.0,,under
P2,KickStart Dental Marketing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,75,0.072,0.00625,0.46908,,under
P2,Location3,0.04,0.04,0.08,0.0533,0.0231,0.0,0.1107,0.567,4,75,0.12,0.07649,1.0,,under
P2,NoGood,0.0,0.0,0.04,0.0133,0.0231,0.0,0.0707,0.0,1,75,0.0453,0.26531,1.0,,under
P2,Pain-Free Dental Marketing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,75,0.056,0.0222,1.0,,under
P2,Powered by Search,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,75,0.0533,0.0346,1.0,,under
P2,Refine Labs,0.12,0.24,0.04,0.1333,0.1007,0.0,0.3834,0.245,10,75,0.1387,1.0,1.0,,under
P2,SOCi,0.04,0.0,0.0,0.0133,0.0231,0.0,0.0707,0.0,1,75,0.12,0.00119,0.08898,,under
P2,Scorpion,0.04,0.04,0.08,0.0533,0.0231,0.0,0.1107,0.567,4,75,0.2507,1e-05,0.00093,***,under
P2,SmartBug Media,0.28,0.44,0.32,0.3467,0.0833,0.1398,0.5535,0.76,26,75,0.0853,0.0,0.0,***,over
P2,Wonderist Agency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,75,0.0987,0.00071,0.05319,,under
P3,BrandMuscle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,75,0.0427,0.07894,1.0,,under
P3,Cardinal Digital Marketing,0.16,0.16,0.2,0.1733,0.0231,0.116,0.2307,0.867,13,75,0.0533,0.00016,0.01185,*,over
P3,Curious Jane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,75,0.0987,0.00071,0.05319,,under
P3,Directive Consulting,0.0,0.04,0.0,0.0133,0.0231,0.0,0.0707,0.0,1,75,0.12,0.00119,0.08898,,under
P3,Firegang Dental Marketing,0.28,0.24,0.4,0.3067,0.0833,0.0998,0.5135,0.728,23,75,0.0613,0.0,0.0,***,over
P3,Franchise FastLane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,75,0.008,1.0,1.0,,under
P3,Franchise Performance Group,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,75,0.0933,0.0011,0.08283,,under
P3,Great Dental Websites,0.16,0.12,0.2,0.16,0.04,0.0606,0.2594,0.75,12,75,0.032,0.0,0.00035,***,over
P3,KickStart Dental Marketing,0.4,0.24,0.44,0.36,0.1058,0.0971,0.6229,0.706,27,75,0.072,0.0,0.0,***,over
P3,Location3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,75,0.12,0.00012,0.00866,**,under
P3,NoGood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,75,0.0453,0.05107,1.0,,under
P3,Pain-Free Dental Marketing,0.24,0.28,0.32,0.28,0.04,0.1806,0.3794,0.857,21,75,0.056,0.0,0.0,***,over
P3,Powered by Search,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,75,0.0533,0.0346,1.0,,under
P3,Refine Labs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,75,0.1387,3e-05,0.00218,**,under
P3,SOCi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,75,0.12,0.00012,0.00866,**,under
P3,Scorpion,0.08,0.12,0.08,0.0933,0.0231,0.036,0.1507,0.753,7,75,0.2507,0.00079,0.05946,,under
P3,SmartBug Media,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,75,0.0853,0.00276,0.20665,,under
P3,Wonderist Agency,0.52,0.4,0.52,0.48,0.0693,0.3079,0.6521,0.856,36,75,0.0987,0.0,0.0,***,over
P4,BrandMuscle,0.24,0.2,0.2,0.2133,0.0231,0.156,0.2707,0.892,16,75,0.0427,0.0,1e-05,***,over
P4,Cardinal Digital Marketing,0.04,0.04,0.12,0.0667,0.0462,0.0,0.1814,0.307,5,75,0.0533,0.60122,1.0,,over
P4,Curious Jane,0.12,0.12,0.04,0.0933,0.0462,0.0,0.2081,0.505,7,75,0.0987,1.0,1.0,,under
P4,Directive Consulting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,75,0.12,0.00012,0.00866,**,under
P4,Firegang Dental Marketing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,75,0.0613,0.01459,1.0,,under
P4,Franchise FastLane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,75,0.008,1.0,1.0,,under
P4,Franchise Performance Group,0.0,0.04,0.0,0.0133,0.0231,0.0,0.0707,0.0,1,75,0.0933,0.00921,0.69107,,under
P4,Great Dental Websites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,75,0.032,0.17981,1.0,,under
P4,KickStart Dental Marketing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,75,0.072,0.00625,0.46908,,under
P4,Location3,0.48,0.6,0.52,0.5333,0.0611,0.3816,0.6851,0.885,40,75,0.12,0.0,0.0,***,over
P4,NoGood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,75,0.0453,0.05107,1.0,,under
P4,Pain-Free Dental Marketing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,75,0.056,0.0222,1.0,,under
P4,Powered by Search,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,75,0.0533,0.0346,1.0,,under
P4,Refine Labs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,75,0.1387,3e-05,0.00218,**,under
P4,SOCi,0.6,0.52,0.6,0.5733,0.0462,0.4586,0.6881,0.919,43,75,0.12,0.0,0.0,***,over
P4,Scorpion,0.68,0.72,0.68,0.6933,0.0231,0.636,0.7507,0.967,52,75,0.2507,0.0,0.0,***,over
P4,SmartBug Media,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,75,0.0853,0.00276,0.20665,,under
P4,Wonderist Agency,0.04,0.0,0.0,0.0133,0.0231,0.0,0.0707,0.0,1,75,0.0987,0.00618,0.4633,,under
P5,BrandMuscle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,75,0.0427,0.07894,1.0,,under
P5,Cardinal Digital Marketing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,75,0.0533,0.0346,1.0,,under
P5,Curious Jane,0.48,0.44,0.28,0.4,0.1058,0.1371,0.6629,0.735,30,75,0.0987,0.0,0.0,***,over
P5,Directive Consulting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,75,0.12,0.00012,0.00866,**,under
P5,Firegang Dental Marketing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,75,0.0613,0.01459,1.0,,under
P5,Franchise FastLane,0.0,0.12,0.0,0.04,0.0693,0.0,0.2121,0.0,3,75,0.008,0.02256,1.0,,over
P5,Franchise Performance Group,0.28,0.44,0.64,0.4533,0.1804,0.0053,0.9014,0.602,34,75,0.0933,0.0,0.0,***,over
P5,Great Dental Websites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,75,0.032,0.17981,1.0,,under
P5,KickStart Dental Marketing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,75,0.072,0.00625,0.46908,,under
P5,Location3,0.04,0.0,0.0,0.0133,0.0231,0.0,0.0707,0.0,1,75,0.12,0.00119,0.08898,,under
P5,NoGood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,75,0.0453,0.05107,1.0,,under
P5,Pain-Free Dental Marketing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,75,0.056,0.0222,1.0,,under
P5,Powered by Search,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,75,0.0533,0.0346,1.0,,under
P5,Refine Labs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,75,0.1387,3e-05,0.00218,**,under
P5,SOCi,0.0,0.04,0.0,0.0133,0.0231,0.0,0.0707,0.0,1,75,0.12,0.00119,0.08898,,under
P5,Scorpion,0.44,0.48,0.28,0.4,0.1058,0.1371,0.6629,0.735,30,75,0.2507,0.00473,0.35444,,over
P5,SmartBug Media,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,75,0.0853,0.00276,0.20665,,under
