brand,domain_authority,referring_domains,organic_keywords,organic_traffic_est
Arby's,85,20000,174400,340800
Burger King,89,27600,379800,2700000
Chick-fil-A,90,38700,710900,3300000
Chipotle,90,44600,446900,5700000
Culver's,83,11900,380800,1100000
Domino's,89,35300,767300,8900000
Dunkin',89,39000,428500,6100000
In-N-Out Burger,86,19100,189200,4000000
Jack in the Box,84,10600,61200,1200000
McDonald's,90,101200,914800,5100000
Panera Bread,89,28100,358400,3700000
Starbucks,92,161000,1100000,9400000
Subway,90,67300,397900,4200000
Sweetgreen,87,9400,471700,659300
Taco Bell,89,32600,543500,10400000
Wawa,83,8500,235400,2100000
Wendy's,88,34000,298100,8800000
