brand,total,marcus,jenna,tyler,priya,dale
Wendy's,237,40,38,59,39,61
Chick-fil-A,189,48,54,20,52,15
McDonald's,151,25,24,44,22,36
Chipotle,129,20,35,19,54,1
Taco Bell,121,15,19,53,13,21
Subway,112,14,30,15,36,17
Panera Bread,101,29,47,5,19,1
Starbucks,47,4,12,3,28,0
Burger King,42,0,2,16,0,24
Arby's,33,2,0,1,0,30
Jack in the Box,31,1,0,27,1,2
Popeyes,29,4,3,9,4,9
Culver's,27,4,9,5,2,7
Jersey Mike's,21,5,5,1,8,2
Dunkin',18,3,4,2,6,3
QDOBA,18,2,8,4,3,1
In-N-Out Burger,18,3,3,6,6,0
CAVA,16,0,4,1,11,0
Domino's,15,0,7,3,2,3
KFC,14,1,7,2,1,3
Panda Express,14,0,0,5,9,0
Wawa,12,1,2,4,3,2
Sweetgreen,12,0,2,0,10,0
El Pollo Loco,12,0,0,1,11,0
MOD Pizza,11,1,2,3,5,0
Sonic,11,0,1,4,1,5
Cook Out,10,0,2,4,2,2
Shake Shack,10,0,1,0,9,0
Bojangles,9,2,2,1,3,1
Pizza Hut,9,0,2,2,2,3
Hardee's,9,0,0,0,0,9
Sheetz,8,1,0,4,1,2
Little Caesars,8,0,1,2,2,3
Blaze Pizza,8,0,2,3,3,0
Whataburger,8,0,0,4,1,3
Raising Cane's,8,0,0,6,0,2
Portillo's,6,2,2,0,2,0
Noodles & Company,6,1,4,1,0,0
Five Guys,6,0,1,2,3,0
Moe's Southwest Grill,5,1,2,1,0,1
Papa John's,5,0,4,0,0,1
Carl's Jr.,5,0,0,0,2,3
Zoe's Kitchen,4,0,4,0,0,0
Del Taco,4,0,0,3,1,0
Kroger,2,0,2,0,0,0
Costco,2,0,2,0,0,0
Jimmy John's,2,0,1,1,0,0
Dairy Queen,2,0,0,1,0,1
Pollo Tropical,2,0,0,0,2,0
Togo’s,1,1,0,0,0,0
Publix,1,0,1,0,0,0
Target,1,0,1,0,0,0
Einstein Bros. Bagels,1,0,1,0,0,0
local pizza chains,1,0,1,0,0,0
Boston Market,1,0,1,0,0,0
Jason’s Deli,1,0,1,0,0,0
QuikTrip,1,0,0,1,0,0
DoorDash,1,0,0,1,0,0
Tijuana Flats,1,0,0,1,0,0
Checkers/Rally's,1,0,0,1,0,0
Zippy's,1,0,0,1,0,0
Firehouse Subs,1,0,0,1,0,0
Pieology,1,0,0,0,1,0
7-Eleven,1,0,0,0,1,0
Dave’s Hot Chicken,1,0,0,0,1,0
Naf Naf Grill,1,0,0,0,1,0
Walmart,1,0,0,0,0,1
Sam’s Club,1,0,0,0,0,1
