agency,total,jordan,sandra,ray,christine,derek
Scorpion,106,1,4,8,52,41
Refine Labs,53,43,10,0,0,0
SOCi,48,0,1,0,45,2
Directive Consulting,46,35,10,1,0,0
Location3,45,0,4,0,40,1
Wonderist Agency,37,0,0,36,1,0
Curious Jane,37,0,0,0,7,30
Franchise Performance Group,35,0,0,0,1,34
SmartBug Media,32,6,26,0,0,0
Franchise FastLane,28,0,0,0,0,28
KickStart Dental Marketing,27,0,0,27,0,0
Firegang Dental Marketing,24,0,0,24,0,0
Seer Interactive,21,1,20,0,0,0
Cardinal Digital Marketing,21,0,2,13,6,0
Pain-Free Dental Marketing,21,0,0,21,0,0
Brand Journalists,21,0,0,0,0,21
Powered by Search,20,20,0,0,0,0
Hyperlocology,18,0,0,0,17,1
BrandMuscle,18,0,0,0,18,0
Single Grain,17,15,0,0,0,2
NoGood,17,16,1,0,0,0
Siege Media,17,5,7,0,2,3
Walker Sands,15,1,14,0,0,0
RevLocal,15,0,1,2,12,0
Omniscient Digital,13,13,0,0,0,0
Tinuiti,13,0,8,0,5,0
Animalz,12,7,4,0,0,1
Great Dental Websites,12,0,0,12,0,0
PowerChord,12,0,0,0,12,0
Wpromote,11,0,10,0,1,0
TopFire Media,11,0,0,0,1,10
Kalungi,10,10,0,0,0,0
Siegel+Gale,10,2,3,2,3,0
New Breed,10,1,9,0,0,0
Brainrider,10,0,10,0,0,0
Delmain,10,0,0,10,0,0
V Digital Services,10,0,0,0,10,0
Proper Expression,9,8,1,0,0,0
Ironpaper,9,2,7,0,0,0
Brainlabs,9,0,9,0,0,0
PBHS,9,0,0,9,0,0
PatientPop,9,0,0,9,0,0
Franchise Marketing Systems,9,0,0,0,1,8
WEO Media,8,0,0,8,0,0
Tebra,8,0,0,8,0,0
Hibu,8,0,0,1,6,1
Mindstream Media Group,8,0,0,0,8,0
Franchise Elevator,8,0,0,0,0,8
SimpleTiger,7,7,0,0,0,0
IDEO,7,3,2,2,0,0
Convince & Convert,7,0,7,0,0,0
Smile Marketing,7,0,0,7,0,0
Sesame Communications,7,0,0,7,0,0
ProSites,7,0,0,7,0,0
Qiigo,7,0,0,0,4,3
Tiger Pistol,7,0,0,0,7,0
KlientBoost,6,4,0,2,0,0
Location3 / LOCALACT,6,0,0,0,6,0
Rallio,6,0,0,0,2,4
Hot Dish Advertising,6,0,0,0,0,6
Growth Plays,5,5,0,0,0,0
42/Agency,5,4,1,0,0,0
Power Digital,5,2,3,0,0,0
Grow and Convert,5,3,0,0,0,2
Velocity Partners,5,0,5,0,0,0
Merkle,5,0,4,0,1,0
The Mx Group,5,0,5,0,0,0
Victorious SEO,5,0,3,0,1,1
Interbrand,5,0,1,1,3,0
Landor & Fitch,5,0,2,2,1,0
Propellant Media,5,0,1,0,4,0
Fishman PR,5,0,0,0,1,4
919 Marketing,5,0,0,0,4,1
Curaytor,5,0,0,0,5,0
Franchise Hive,5,0,0,0,0,5
Eulerity,5,0,0,0,0,5
Ten Speed,4,4,0,0,0,0
Hey Digital,4,4,0,0,0,0
Foundation,4,3,1,0,0,0
Foundation Marketing,4,2,2,0,0,0
Inturact,4,4,0,0,0,0
Content Harmony,4,1,2,0,0,1
Ogilvy,4,1,1,2,0,0
Droga5,4,1,1,1,0,1
Newfangled,4,0,4,0,0,0
Reshift Media,4,0,0,0,1,3
Ansira,4,0,0,0,4,0
FranDevCo,4,0,0,0,0,4
Integrated Digital Strategies,4,0,0,0,0,4
ProperExpression,3,3,0,0,0,0
WebMechanix,3,1,2,0,0,0
Tuff Growth,3,2,1,0,0,0
Red Antler,3,2,0,0,0,1
Focus Lab,3,2,1,0,0,0
Obility,3,1,2,0,0,0
Hero Digital,3,0,3,0,0,0
Brafton,3,0,3,0,0,0
Relevance,3,0,3,0,0,0
DAC Group,3,0,3,0,0,0
Whiteboard Marketing,3,0,0,3,0,0
Golden Proportions Marketing,3,0,0,3,0,0
Driven Dental Marketing,3,0,0,3,0,0
Mindstream Media,3,0,0,0,3,0
BrightLocal,3,0,0,0,3,0
Curiosity,3,0,0,0,3,0
Evocalize,3,0,0,0,3,0
LeadNavigators,3,0,0,0,0,3
Franchise Update Media,3,0,0,0,0,3
Franchise Pipeline Solutions,3,0,0,0,0,3
42 Agency,2,2,0,0,0,0
Zen Media,2,1,1,0,0,0
Optimist,2,2,0,0,0,0
93x,2,1,1,0,0,0
Column Five,2,2,0,0,0,0
Wolff Olins,2,1,0,1,0,0
Wieden+Kennedy,2,1,0,0,0,1
Anomaly,2,1,0,0,0,1
Ignite Visibility,2,1,0,0,1,0
Right Side Up,2,2,0,0,0,0
Gripped,2,2,0,0,0,0
Elevate Demand,2,1,1,0,0,0
Animus,2,0,2,0,0,0
Merkle B2B,2,0,2,0,0,0
Silverback Strategies,2,0,2,0,0,0
Godfrey,2,0,2,0,0,0
Quarry,2,0,2,0,0,0
DEPT,2,0,2,0,0,0
JumpFly,2,0,2,0,0,0
Closed Loop,2,0,2,0,0,0
Socium Media,2,0,1,0,1,0
iProspect,2,0,1,0,1,0
BDO Digital,2,0,2,0,0,0
Prodentite,2,0,0,2,0,0
Roadside Dental Marketing,2,0,0,2,0,0
Rosemont Media,2,0,0,2,0,0
LocaliQ,2,0,0,1,1,0
Pentagram,2,0,0,2,0,0
MyAdvice,2,0,0,2,0,0
Kaleidoscope,2,0,0,2,0,0
The Integer Group,2,0,0,0,2,0
Evok Advertising,2,0,0,0,2,0
Valpak,2,0,0,0,2,0
Vya,2,0,0,0,2,0
SearchLab Digital,2,0,0,0,2,0
VML,2,0,0,0,2,0
FranchiseRamp,2,0,0,0,1,1
Zimmerman,2,0,0,0,2,0
Havas Edge,2,0,0,0,2,0
VDigital Services,2,0,0,0,2,0
C Squared Social,2,0,0,0,1,1
PromoRepublic,2,0,0,0,2,0
FranFunnel,2,0,0,0,0,2
BrandONE,2,0,0,0,0,2
Rep'M Group,2,0,0,0,0,2
Victorious,2,0,0,0,0,2
NP Digital,2,0,0,0,0,2
FranGrow,2,0,0,0,0,2
Mainland,2,0,0,0,0,2
Franchise Ramp,2,0,0,0,0,2
iFranchise Group,2,0,0,0,0,2
Demandwell,1,1,0,0,0,0
SalesPipe,1,1,0,0,0,0
Inboundlabs,1,1,0,0,0,0
Codeless,1,1,0,0,0,0
Ruza,1,1,0,0,0,0
Simple Tiger,1,1,0,0,0,0
Animals,1,1,0,0,0,0
42Agency,1,1,0,0,0,0
Transistor,1,1,0,0,0,0
Science of Scaling,1,1,0,0,0,0
Uplift Content,1,1,0,0,0,0
B2Linked,1,1,0,0,0,0
Philadelphia,1,1,0,0,0,0
Rival,1,1,0,0,0,0
BrandOpus,1,1,0,0,0,0
Iron Creative,1,1,0,0,0,0
Venture Studio,1,1,0,0,0,0
Tiller Digital,1,1,0,0,0,0
Positioning (April Dunford),1,1,0,0,0,0
Ollo Metrics,1,1,0,0,0,0
JumpCrew,1,1,0,0,0,0
99 Robots,1,1,0,0,0,0
Cleverly,1,1,0,0,0,0
Webprofits,1,1,0,0,0,0
Power Digital Marketing,1,1,0,0,0,0
Accelerate Agency,1,1,0,0,0,0
73 Strings,1,1,0,0,0,0
Tilt Metrics,1,1,0,0,0,0
We Scale Startups,1,1,0,0,0,0
HeyDigital,1,1,0,0,0,0
Bay Leaf Digital,1,1,0,0,0,0
Eucalypt,1,1,0,0,0,0
Grow & Convert,1,1,0,0,0,0
Allego Labs,1,1,0,0,0,0
InboundLabs,1,1,0,0,0,0
AlchemyLeads,1,1,0,0,0,0
Fast,1,1,0,0,0,0
Growtha,1,1,0,0,0,0
Kalaydo,1,1,0,0,0,0
FletchPMM,1,1,0,0,0,0
Draft.dev,1,1,0,0,0,0
Campfire Labs,1,1,0,0,0,0
Growth Gorilla,1,1,0,0,0,0
First Page Sage,1,1,0,0,0,0
Manifest,1,0,1,0,0,0
Radical,1,0,1,0,0,0
Imarc,1,0,1,0,0,0
Branward,1,0,1,0,0,0
4B Marketing,1,0,1,0,0,0
Bully Pulpit Interactive,1,0,1,0,0,0
99signals,1,0,1,0,0,0
Verblio,1,0,1,0,0,0
Hydrogen,1,0,1,0,0,0
Beacon Digital,1,0,1,0,0,0
Kingpin,1,0,1,0,0,0
Tilted Chair,1,0,1,0,0,0
Disruptive Advertising,1,0,1,0,0,0
TopSpot Internet Marketing,1,0,1,0,0,0
Gorilla 76,1,0,1,0,0,0
Animus Studios,1,0,1,0,0,0
Kammok Consulting,1,0,1,0,0,0
Finn Partners,1,0,1,0,0,0
Fractl,1,0,1,0,0,0
WebFX,1,0,1,0,0,0
Media.Monks,1,0,1,0,0,0
3Q/DEPT,1,0,1,0,0,0
Lippincott,1,0,1,0,0,0
Siegel Strategies,1,0,1,0,0,0
Prophet,1,0,1,0,0,0
WPP Agency Networks,1,0,1,0,0,0
Huge,1,0,1,0,0,0
Blueprint,1,0,1,0,0,0
Influitive,1,0,1,0,0,0
Heinz Marketing,1,0,1,0,0,0
CMD,1,0,1,0,0,0
Impact,1,0,1,0,0,0
Impression,1,0,1,0,0,0
New Breed Marketing,1,0,1,0,0,0
Venture Harbor,1,0,1,0,0,0
New North,1,0,1,0,0,0
Bluetext,1,0,1,0,0,0
Meridian West,1,0,1,0,0,0
Momentum ITSMA,1,0,1,0,0,0
Rattleback,1,0,1,0,0,0
Relevance One,1,0,1,0,0,0
DeSantis Breindel,1,0,1,0,0,0
Studio Science,1,0,1,0,0,0
PMX Agency,1,0,1,0,0,0
Kingpin Communications,1,0,1,0,0,0
Salted Stone,1,0,1,0,0,0
Blend,1,0,1,0,0,0
Kuno Creative,1,0,1,0,0,0
Gold Front,1,0,1,0,0,0
Statwax,1,0,1,0,0,0
Croud,1,0,1,0,0,0
Rebellion,1,0,1,0,0,0
Fabrik,1,0,1,0,0,0
Mechanica,1,0,1,0,0,0
Major Tom,1,0,1,0,0,0
Mojo Media Labs,1,0,1,0,0,0
Foundation Inc.,1,0,1,0,0,0
Bounteous,1,0,1,0,0,0
Demand Studio,1,0,1,0,0,0
Quaintise,1,0,0,1,0,0
Pro Impressions Group,1,0,0,1,0,0
Swarm Digital Marketing,1,0,0,1,0,0
RunRex Interactive,1,0,0,1,0,0
Prodigy Digital Marketing,1,0,0,1,0,0
HIP Creative,1,0,0,1,0,0
Thrive Internet Marketing Agency,1,0,0,1,0,0
Dental ROI,1,0,0,1,0,0
MB2 Dental,1,0,0,1,0,0
The Dental Marketer,1,0,0,1,0,0
Studio EightyEight,1,0,0,1,0,0
Prosites,1,0,0,1,0,0
DentalQore,1,0,0,1,0,0
Local Fresh,1,0,0,1,0,0
Pearl Lemon Leads,1,0,0,1,0,0
Delmain Digital,1,0,0,1,0,0
Patientsites,1,0,0,1,0,0
Socius Marketing,1,0,0,1,0,0
ReachLocal,1,0,0,1,0,0
